,ConcernAspect,Score,Category
860,Problems balancing sustainability and family needs,3.0,Somewhat
861,Problems balancing sustainability and family needs,1.0,Not at all
862,Problems balancing sustainability and family needs,4.0,Moderately
863,Problems balancing sustainability and family needs,3.0,Somewhat
864,Problems balancing sustainability and family needs,2.0,Slightly
865,Problems balancing sustainability and family needs,4.0,Moderately
866,Problems balancing sustainability and family needs,7.0,Extremely
867,Problems balancing sustainability and family needs,2.0,Slightly
868,Problems balancing sustainability and family needs,6.0,Very much
869,Problems balancing sustainability and family needs,1.0,Not at all
870,Problems balancing sustainability and family needs,3.0,Somewhat
871,Problems balancing sustainability and family needs,6.0,Very much
872,Problems balancing sustainability and family needs,4.0,Moderately
873,Problems balancing sustainability and family needs,1.0,Not at all
874,Problems balancing sustainability and family needs,4.0,Moderately
875,Problems balancing sustainability and family needs,1.0,Not at all
876,Problems balancing sustainability and family needs,2.0,Slightly
877,Problems balancing sustainability and family needs,5.0,Quite a bit
878,Problems balancing sustainability and family needs,4.0,Moderately
879,Problems balancing sustainability and family needs,4.0,Moderately
880,Problems balancing sustainability and family needs,4.0,Moderately
881,Problems balancing sustainability and family needs,3.0,Somewhat
882,Problems balancing sustainability and family needs,5.0,Quite a bit
883,Problems balancing sustainability and family needs,4.0,Moderately
884,Problems balancing sustainability and family needs,5.0,Quite a bit
885,Problems balancing sustainability and family needs,4.0,Moderately
886,Problems balancing sustainability and family needs,4.0,Moderately
887,Problems balancing sustainability and family needs,4.0,Moderately
888,Problems balancing sustainability and family needs,5.0,Quite a bit
889,Problems balancing sustainability and family needs,3.0,Somewhat
890,Problems balancing sustainability and family needs,5.0,Quite a bit
891,Problems balancing sustainability and family needs,3.0,Somewhat
892,Problems balancing sustainability and family needs,4.0,Moderately
893,Problems balancing sustainability and family needs,1.0,Not at all
894,Problems balancing sustainability and family needs,1.0,Not at all
895,Problems balancing sustainability and family needs,2.0,Slightly
896,Problems balancing sustainability and family needs,1.0,Not at all
897,Problems balancing sustainability and family needs,2.0,Slightly
898,Problems balancing sustainability and family needs,1.0,Not at all
899,Problems balancing sustainability and family needs,6.0,Very much
900,Problems balancing sustainability and family needs,4.0,Moderately
901,Problems balancing sustainability and family needs,1.0,Not at all
902,Problems balancing sustainability and family needs,1.0,Not at all
903,Problems balancing sustainability and family needs,2.0,Slightly
904,Problems balancing sustainability and family needs,3.0,Somewhat
905,Problems balancing sustainability and family needs,1.0,Not at all
906,Problems balancing sustainability and family needs,1.0,Not at all
907,Problems balancing sustainability and family needs,5.0,Quite a bit
908,Problems balancing sustainability and family needs,5.0,Quite a bit
909,Problems balancing sustainability and family needs,5.0,Quite a bit
910,Problems balancing sustainability and family needs,4.0,Moderately
911,Problems balancing sustainability and family needs,1.0,Not at all
912,Problems balancing sustainability and family needs,4.0,Moderately
913,Problems balancing sustainability and family needs,4.0,Moderately
914,Problems balancing sustainability and family needs,1.0,Not at all
915,Problems balancing sustainability and family needs,2.0,Slightly
916,Problems balancing sustainability and family needs,6.0,Very much
917,Problems balancing sustainability and family needs,4.0,Moderately
918,Problems balancing sustainability and family needs,4.0,Moderately
919,Problems balancing sustainability and family needs,1.0,Not at all
920,Problems balancing sustainability and family needs,3.0,Somewhat
921,Problems balancing sustainability and family needs,7.0,Extremely
922,Problems balancing sustainability and family needs,5.0,Quite a bit
923,Problems balancing sustainability and family needs,4.0,Moderately
924,Problems balancing sustainability and family needs,1.0,Not at all
925,Problems balancing sustainability and family needs,6.0,Very much
926,Problems balancing sustainability and family needs,3.0,Somewhat
927,Problems balancing sustainability and family needs,6.0,Very much
928,Problems balancing sustainability and family needs,4.0,Moderately
929,Problems balancing sustainability and family needs,3.0,Somewhat
930,Problems balancing sustainability and family needs,5.0,Quite a bit
931,Problems balancing sustainability and family needs,4.0,Moderately
932,Problems balancing sustainability and family needs,3.0,Somewhat
933,Problems balancing sustainability and family needs,7.0,Extremely
934,Problems balancing sustainability and family needs,1.0,Not at all
935,Problems balancing sustainability and family needs,5.0,Quite a bit
936,Problems balancing sustainability and family needs,4.0,Moderately
937,Problems balancing sustainability and family needs,3.0,Somewhat
938,Problems balancing sustainability and family needs,1.0,Not at all
939,Problems balancing sustainability and family needs,3.0,Somewhat
940,Problems balancing sustainability and family needs,3.0,Somewhat
941,Problems balancing sustainability and family needs,1.0,Not at all
942,Problems balancing sustainability and family needs,3.0,Somewhat
943,Problems balancing sustainability and family needs,1.0,Not at all
944,Problems balancing sustainability and family needs,2.0,Slightly
945,Problems balancing sustainability and family needs,2.0,Slightly
946,Problems balancing sustainability and family needs,2.0,Slightly
947,Problems balancing sustainability and family needs,3.0,Somewhat
948,Problems balancing sustainability and family needs,5.0,Quite a bit
949,Problems balancing sustainability and family needs,3.0,Somewhat
950,Problems balancing sustainability and family needs,3.0,Somewhat
951,Problems balancing sustainability and family needs,2.0,Slightly
952,Problems balancing sustainability and family needs,4.0,Moderately
953,Problems balancing sustainability and family needs,2.0,Slightly
954,Problems balancing sustainability and family needs,4.0,Moderately
955,Problems balancing sustainability and family needs,4.0,Moderately
956,Problems balancing sustainability and family needs,3.0,Somewhat
957,Problems balancing sustainability and family needs,4.0,Moderately
958,Problems balancing sustainability and family needs,4.0,Moderately
959,Problems balancing sustainability and family needs,5.0,Quite a bit
960,Problems balancing sustainability and family needs,2.0,Slightly
961,Problems balancing sustainability and family needs,5.0,Quite a bit
962,Problems balancing sustainability and family needs,1.0,Not at all
963,Problems balancing sustainability and family needs,4.0,Moderately
964,Problems balancing sustainability and family needs,2.0,Slightly
965,Problems balancing sustainability and family needs,4.0,Moderately
966,Problems balancing sustainability and family needs,5.0,Quite a bit
967,Problems balancing sustainability and family needs,3.0,Somewhat
968,Problems balancing sustainability and family needs,2.0,Slightly
969,Problems balancing sustainability and family needs,3.0,Somewhat
970,Problems balancing sustainability and family needs,6.0,Very much
971,Problems balancing sustainability and family needs,7.0,Extremely
972,Problems balancing sustainability and family needs,5.0,Quite a bit
973,Problems balancing sustainability and family needs,4.0,Moderately
974,Problems balancing sustainability and family needs,1.0,Not at all
975,Problems balancing sustainability and family needs,3.0,Somewhat
976,Problems balancing sustainability and family needs,5.0,Quite a bit
977,Problems balancing sustainability and family needs,1.0,Not at all
978,Problems balancing sustainability and family needs,6.0,Very much
979,Problems balancing sustainability and family needs,4.0,Moderately
980,Problems balancing sustainability and family needs,4.0,Moderately
981,Problems balancing sustainability and family needs,6.0,Very much
982,Problems balancing sustainability and family needs,3.0,Somewhat
983,Problems balancing sustainability and family needs,1.0,Not at all
984,Problems balancing sustainability and family needs,1.0,Not at all
985,Problems balancing sustainability and family needs,4.0,Moderately
986,Problems balancing sustainability and family needs,1.0,Not at all
987,Problems balancing sustainability and family needs,7.0,Extremely
988,Problems balancing sustainability and family needs,2.0,Slightly
989,Problems balancing sustainability and family needs,5.0,Quite a bit
990,Problems balancing sustainability and family needs,1.0,Not at all
991,Problems balancing sustainability and family needs,2.0,Slightly
992,Problems balancing sustainability and family needs,3.0,Somewhat
993,Problems balancing sustainability and family needs,6.0,Very much
994,Problems balancing sustainability and family needs,4.0,Moderately
995,Problems balancing sustainability and family needs,3.0,Somewhat
996,Problems balancing sustainability and family needs,3.0,Somewhat
997,Problems balancing sustainability and family needs,3.0,Somewhat
998,Problems balancing sustainability and family needs,3.0,Somewhat
999,Problems balancing sustainability and family needs,6.0,Very much
1000,Problems balancing sustainability and family needs,3.0,Somewhat
1001,Problems balancing sustainability and family needs,3.0,Somewhat
1002,Problems balancing sustainability and family needs,1.0,Not at all
1003,Problems balancing sustainability and family needs,2.0,Slightly
1004,Problems balancing sustainability and family needs,3.0,Somewhat
1005,Problems balancing sustainability and family needs,6.0,Very much
1006,Problems balancing sustainability and family needs,2.0,Slightly
1007,Problems balancing sustainability and family needs,5.0,Quite a bit
1008,Problems balancing sustainability and family needs,1.0,Not at all
1009,Problems balancing sustainability and family needs,5.0,Quite a bit
1010,Problems balancing sustainability and family needs,5.0,Quite a bit
1011,Problems balancing sustainability and family needs,5.0,Quite a bit
1012,Problems balancing sustainability and family needs,2.0,Slightly
1013,Problems balancing sustainability and family needs,2.0,Slightly
1014,Problems balancing sustainability and family needs,5.0,Quite a bit
1015,Problems balancing sustainability and family needs,6.0,Very much
1016,Problems balancing sustainability and family needs,1.0,Not at all
1017,Problems balancing sustainability and family needs,4.0,Moderately
1018,Problems balancing sustainability and family needs,2.0,Slightly
1019,Problems balancing sustainability and family needs,1.0,Not at all
1020,Problems balancing sustainability and family needs,4.0,Moderately
1021,Problems balancing sustainability and family needs,2.0,Slightly
1022,Problems balancing sustainability and family needs,2.0,Slightly
1023,Problems balancing sustainability and family needs,4.0,Moderately
1024,Problems balancing sustainability and family needs,4.0,Moderately
1025,Problems balancing sustainability and family needs,5.0,Quite a bit
1026,Problems balancing sustainability and family needs,4.0,Moderately
1027,Problems balancing sustainability and family needs,3.0,Somewhat
1028,Problems balancing sustainability and family needs,5.0,Quite a bit
1029,Problems balancing sustainability and family needs,6.0,Very much
1030,Problems balancing sustainability and family needs,1.0,Not at all
1031,Problems balancing sustainability and family needs,3.0,Somewhat
1032,Problems balancing sustainability and family needs,5.0,Quite a bit
1033,Problems balancing sustainability and family needs,5.0,Quite a bit
1034,Problems balancing sustainability and family needs,5.0,Quite a bit
1035,Problems balancing sustainability and family needs,4.0,Moderately
1036,Problems balancing sustainability and family needs,4.0,Moderately
1037,Problems balancing sustainability and family needs,4.0,Moderately
1038,Problems balancing sustainability and family needs,1.0,Not at all
1039,Problems balancing sustainability and family needs,4.0,Moderately
1040,Problems balancing sustainability and family needs,4.0,Moderately
1041,Problems balancing sustainability and family needs,4.0,Moderately
1042,Problems balancing sustainability and family needs,2.0,Slightly
1043,Problems balancing sustainability and family needs,1.0,Not at all
1044,Problems balancing sustainability and family needs,3.0,Somewhat
1045,Problems balancing sustainability and family needs,2.0,Slightly
1046,Problems balancing sustainability and family needs,2.0,Slightly
1047,Problems balancing sustainability and family needs,5.0,Quite a bit
1048,Problems balancing sustainability and family needs,1.0,Not at all
1049,Problems balancing sustainability and family needs,3.0,Somewhat
1050,Problems balancing sustainability and family needs,4.0,Moderately
1051,Problems balancing sustainability and family needs,4.0,Moderately
1052,Problems balancing sustainability and family needs,6.0,Very much
1053,Problems balancing sustainability and family needs,2.0,Slightly
1054,Problems balancing sustainability and family needs,4.0,Moderately
1055,Problems balancing sustainability and family needs,5.0,Quite a bit
1056,Problems balancing sustainability and family needs,1.0,Not at all
1057,Problems balancing sustainability and family needs,4.0,Moderately
1058,Problems balancing sustainability and family needs,3.0,Somewhat
1059,Problems balancing sustainability and family needs,5.0,Quite a bit
1060,Problems balancing sustainability and family needs,5.0,Quite a bit
1061,Problems balancing sustainability and family needs,6.0,Very much
1062,Problems balancing sustainability and family needs,2.0,Slightly
1063,Problems balancing sustainability and family needs,2.0,Slightly
1064,Problems balancing sustainability and family needs,5.0,Quite a bit
1065,Problems balancing sustainability and family needs,4.0,Moderately
1066,Problems balancing sustainability and family needs,4.0,Moderately
1067,Problems balancing sustainability and family needs,3.0,Somewhat
1068,Problems balancing sustainability and family needs,4.0,Moderately
1069,Problems balancing sustainability and family needs,1.0,Not at all
1070,Problems balancing sustainability and family needs,5.0,Quite a bit
1071,Problems balancing sustainability and family needs,3.0,Somewhat
1072,Problems balancing sustainability and family needs,3.0,Somewhat
1073,Problems balancing sustainability and family needs,3.0,Somewhat
1074,Problems balancing sustainability and family needs,4.0,Moderately
1075,Problems balancing sustainability and family needs,5.0,Quite a bit
1076,Problems balancing sustainability and family needs,5.0,Quite a bit
1077,Problems balancing sustainability and family needs,1.0,Not at all
1078,Problems balancing sustainability and family needs,4.0,Moderately
1079,Problems balancing sustainability and family needs,1.0,Not at all
1080,Problems balancing sustainability and family needs,4.0,Moderately
1081,Problems balancing sustainability and family needs,5.0,Quite a bit
1082,Problems balancing sustainability and family needs,2.0,Slightly
1083,Problems balancing sustainability and family needs,6.0,Very much
1084,Problems balancing sustainability and family needs,4.0,Moderately
1085,Problems balancing sustainability and family needs,1.0,Not at all
1086,Problems balancing sustainability and family needs,5.0,Quite a bit
1087,Problems balancing sustainability and family needs,4.0,Moderately
1088,Problems balancing sustainability and family needs,3.0,Somewhat
1089,Problems balancing sustainability and family needs,3.0,Somewhat
1090,Problems balancing sustainability and family needs,4.0,Moderately
1091,Problems balancing sustainability and family needs,5.0,Quite a bit
1092,Problems balancing sustainability and family needs,6.0,Very much
1093,Problems balancing sustainability and family needs,5.0,Quite a bit
1094,Problems balancing sustainability and family needs,6.0,Very much
1095,Problems balancing sustainability and family needs,1.0,Not at all
1096,Problems balancing sustainability and family needs,6.0,Very much
1097,Problems balancing sustainability and family needs,3.0,Somewhat
1098,Problems balancing sustainability and family needs,4.0,Moderately
1099,Problems balancing sustainability and family needs,5.0,Quite a bit
1100,Problems balancing sustainability and family needs,4.0,Moderately
1101,Problems balancing sustainability and family needs,6.0,Very much
1102,Problems balancing sustainability and family needs,4.0,Moderately
1103,Problems balancing sustainability and family needs,3.0,Somewhat
1104,Problems balancing sustainability and family needs,4.0,Moderately
1105,Problems balancing sustainability and family needs,4.0,Moderately
1106,Problems balancing sustainability and family needs,6.0,Very much
1107,Problems balancing sustainability and family needs,2.0,Slightly
1108,Problems balancing sustainability and family needs,4.0,Moderately
1109,Problems balancing sustainability and family needs,1.0,Not at all
1110,Problems balancing sustainability and family needs,1.0,Not at all
1111,Problems balancing sustainability and family needs,3.0,Somewhat
1112,Problems balancing sustainability and family needs,4.0,Moderately
1113,Problems balancing sustainability and family needs,2.0,Slightly
1114,Problems balancing sustainability and family needs,6.0,Very much
1115,Problems balancing sustainability and family needs,5.0,Quite a bit
1116,Problems balancing sustainability and family needs,2.0,Slightly
1117,Problems balancing sustainability and family needs,3.0,Somewhat
1118,Problems balancing sustainability and family needs,5.0,Quite a bit
1119,Problems balancing sustainability and family needs,5.0,Quite a bit
1120,Problems balancing sustainability and family needs,4.0,Moderately
1121,Problems balancing sustainability and family needs,5.0,Quite a bit
1122,Problems balancing sustainability and family needs,6.0,Very much
1123,Problems balancing sustainability and family needs,4.0,Moderately
1124,Problems balancing sustainability and family needs,3.0,Somewhat
1125,Problems balancing sustainability and family needs,3.0,Somewhat
1126,Problems balancing sustainability and family needs,5.0,Quite a bit
1127,Problems balancing sustainability and family needs,2.0,Slightly
1128,Problems balancing sustainability and family needs,1.0,Not at all
1129,Problems balancing sustainability and family needs,1.0,Not at all
1130,Problems balancing sustainability and family needs,1.0,Not at all
1131,Problems balancing sustainability and family needs,1.0,Not at all
1132,Problems balancing sustainability and family needs,1.0,Not at all
1133,Problems balancing sustainability and family needs,4.0,Moderately
1134,Problems balancing sustainability and family needs,2.0,Slightly
1135,Problems balancing sustainability and family needs,4.0,Moderately
1136,Problems balancing sustainability and family needs,4.0,Moderately
1137,Problems balancing sustainability and family needs,7.0,Extremely
1138,Problems balancing sustainability and family needs,1.0,Not at all
1139,Problems balancing sustainability and family needs,2.0,Slightly
1140,Problems balancing sustainability and family needs,4.0,Moderately
1141,Problems balancing sustainability and family needs,3.0,Somewhat
1142,Problems balancing sustainability and family needs,2.0,Slightly
1143,Problems balancing sustainability and family needs,6.0,Very much
1144,Problems balancing sustainability and family needs,5.0,Quite a bit
1145,Problems balancing sustainability and family needs,4.0,Moderately
1146,Problems balancing sustainability and family needs,1.0,Not at all
1147,Problems balancing sustainability and family needs,4.0,Moderately
1148,Problems balancing sustainability and family needs,2.0,Slightly
1149,Problems balancing sustainability and family needs,1.0,Not at all
1150,Problems balancing sustainability and family needs,4.0,Moderately
1151,Problems balancing sustainability and family needs,2.0,Slightly
1152,Problems balancing sustainability and family needs,3.0,Somewhat
1153,Problems balancing sustainability and family needs,4.0,Moderately
1154,Problems balancing sustainability and family needs,3.0,Somewhat
1155,Problems balancing sustainability and family needs,5.0,Quite a bit
1156,Problems balancing sustainability and family needs,1.0,Not at all
1157,Problems balancing sustainability and family needs,4.0,Moderately
1158,Problems balancing sustainability and family needs,4.0,Moderately
1159,Problems balancing sustainability and family needs,5.0,Quite a bit
1160,Problems balancing sustainability and family needs,3.0,Somewhat
1161,Problems balancing sustainability and family needs,5.0,Quite a bit
1162,Problems balancing sustainability and family needs,3.0,Somewhat
1163,Problems balancing sustainability and family needs,2.0,Slightly
1164,Problems balancing sustainability and family needs,5.0,Quite a bit
1165,Problems balancing sustainability and family needs,4.0,Moderately
1166,Problems balancing sustainability and family needs,6.0,Very much
1167,Problems balancing sustainability and family needs,4.0,Moderately
1168,Problems balancing sustainability and family needs,3.0,Somewhat
1169,Problems balancing sustainability and family needs,4.0,Moderately
1170,Problems balancing sustainability and family needs,3.0,Somewhat
1171,Problems balancing sustainability and family needs,1.0,Not at all
1172,Problems balancing sustainability and family needs,3.0,Somewhat
1173,Problems balancing sustainability and family needs,4.0,Moderately
1174,Problems balancing sustainability and family needs,1.0,Not at all
1175,Problems balancing sustainability and family needs,4.0,Moderately
1176,Problems balancing sustainability and family needs,7.0,Extremely
1177,Problems balancing sustainability and family needs,6.0,Very much
1178,Problems balancing sustainability and family needs,1.0,Not at all
1179,Problems balancing sustainability and family needs,5.0,Quite a bit
1180,Problems balancing sustainability and family needs,1.0,Not at all
1181,Problems balancing sustainability and family needs,5.0,Quite a bit
1182,Problems balancing sustainability and family needs,5.0,Quite a bit
1183,Problems balancing sustainability and family needs,3.0,Somewhat
1184,Problems balancing sustainability and family needs,2.0,Slightly
1185,Problems balancing sustainability and family needs,4.0,Moderately
1186,Problems balancing sustainability and family needs,4.0,Moderately
1187,Problems balancing sustainability and family needs,5.0,Quite a bit
1188,Problems balancing sustainability and family needs,1.0,Not at all
1189,Problems balancing sustainability and family needs,1.0,Not at all
1190,Problems balancing sustainability and family needs,2.0,Slightly
1191,Problems balancing sustainability and family needs,5.0,Quite a bit
1192,Problems balancing sustainability and family needs,2.0,Slightly
1193,Problems balancing sustainability and family needs,5.0,Quite a bit
1194,Problems balancing sustainability and family needs,2.0,Slightly
1195,Problems balancing sustainability and family needs,2.0,Slightly
1196,Problems balancing sustainability and family needs,5.0,Quite a bit
1197,Problems balancing sustainability and family needs,7.0,Extremely
1198,Problems balancing sustainability and family needs,2.0,Slightly
1199,Problems balancing sustainability and family needs,6.0,Very much
1200,Problems balancing sustainability and family needs,7.0,Extremely
1201,Problems balancing sustainability and family needs,3.0,Somewhat
1202,Problems balancing sustainability and family needs,3.0,Somewhat
1203,Problems balancing sustainability and family needs,4.0,Moderately
1204,Problems balancing sustainability and family needs,5.0,Quite a bit
1205,Problems balancing sustainability and family needs,4.0,Moderately
1206,Problems balancing sustainability and family needs,3.0,Somewhat
1207,Problems balancing sustainability and family needs,3.0,Somewhat
1208,Problems balancing sustainability and family needs,3.0,Somewhat
1209,Problems balancing sustainability and family needs,3.0,Somewhat
1210,Problems balancing sustainability and family needs,6.0,Very much
1211,Problems balancing sustainability and family needs,4.0,Moderately
1212,Problems balancing sustainability and family needs,2.0,Slightly
1213,Problems balancing sustainability and family needs,3.0,Somewhat
1214,Problems balancing sustainability and family needs,4.0,Moderately
1215,Problems balancing sustainability and family needs,4.0,Moderately
1216,Problems balancing sustainability and family needs,5.0,Quite a bit
1217,Problems balancing sustainability and family needs,1.0,Not at all
1218,Problems balancing sustainability and family needs,3.0,Somewhat
1219,Problems balancing sustainability and family needs,4.0,Moderately
1220,Problems balancing sustainability and family needs,3.0,Somewhat
1221,Problems balancing sustainability and family needs,5.0,Quite a bit
1222,Problems balancing sustainability and family needs,1.0,Not at all
1223,Problems balancing sustainability and family needs,4.0,Moderately
1224,Problems balancing sustainability and family needs,5.0,Quite a bit
1225,Problems balancing sustainability and family needs,1.0,Not at all
1226,Problems balancing sustainability and family needs,4.0,Moderately
1227,Problems balancing sustainability and family needs,1.0,Not at all
1228,Problems balancing sustainability and family needs,4.0,Moderately
1229,Problems balancing sustainability and family needs,4.0,Moderately
1230,Problems balancing sustainability and family needs,1.0,Not at all
1231,Problems balancing sustainability and family needs,5.0,Quite a bit
1232,Problems balancing sustainability and family needs,3.0,Somewhat
1233,Problems balancing sustainability and family needs,5.0,Quite a bit
1234,Problems balancing sustainability and family needs,5.0,Quite a bit
1235,Problems balancing sustainability and family needs,1.0,Not at all
1236,Problems balancing sustainability and family needs,4.0,Moderately
1237,Problems balancing sustainability and family needs,5.0,Quite a bit
1238,Problems balancing sustainability and family needs,2.0,Slightly
1239,Problems balancing sustainability and family needs,4.0,Moderately
1240,Problems balancing sustainability and family needs,5.0,Quite a bit
1241,Problems balancing sustainability and family needs,7.0,Extremely
1242,Problems balancing sustainability and family needs,4.0,Moderately
1243,Problems balancing sustainability and family needs,3.0,Somewhat
1244,Problems balancing sustainability and family needs,5.0,Quite a bit
1245,Problems balancing sustainability and family needs,1.0,Not at all
1246,Problems balancing sustainability and family needs,4.0,Moderately
1247,Problems balancing sustainability and family needs,6.0,Very much
1248,Problems balancing sustainability and family needs,4.0,Moderately
1249,Problems balancing sustainability and family needs,5.0,Quite a bit
1250,Problems balancing sustainability and family needs,5.0,Quite a bit
1251,Problems balancing sustainability and family needs,5.0,Quite a bit
1252,Problems balancing sustainability and family needs,2.0,Slightly
1253,Problems balancing sustainability and family needs,4.0,Moderately
1254,Problems balancing sustainability and family needs,4.0,Moderately
1255,Problems balancing sustainability and family needs,4.0,Moderately
1256,Problems balancing sustainability and family needs,6.0,Very much
1257,Problems balancing sustainability and family needs,3.0,Somewhat
1258,Problems balancing sustainability and family needs,5.0,Quite a bit
1259,Problems balancing sustainability and family needs,1.0,Not at all
1260,Problems balancing sustainability and family needs,2.0,Slightly
1261,Problems balancing sustainability and family needs,7.0,Extremely
1262,Problems balancing sustainability and family needs,5.0,Quite a bit
1263,Problems balancing sustainability and family needs,4.0,Moderately
1264,Problems balancing sustainability and family needs,5.0,Quite a bit
1265,Problems balancing sustainability and family needs,4.0,Moderately
1266,Problems balancing sustainability and family needs,7.0,Extremely
1267,Problems balancing sustainability and family needs,4.0,Moderately
1268,Problems balancing sustainability and family needs,4.0,Moderately
1269,Problems balancing sustainability and family needs,2.0,Slightly
1270,Problems balancing sustainability and family needs,5.0,Quite a bit
1271,Problems balancing sustainability and family needs,4.0,Moderately
1272,Feeling directly affected by climate change,2.0,Slightly
1273,Feeling directly affected by climate change,6.0,Very much
1274,Feeling directly affected by climate change,4.0,Moderately
1275,Feeling directly affected by climate change,4.0,Moderately
1276,Feeling directly affected by climate change,2.0,Slightly
1277,Feeling directly affected by climate change,6.0,Very much
1278,Feeling directly affected by climate change,5.0,Quite a bit
1279,Feeling directly affected by climate change,2.0,Slightly
1280,Feeling directly affected by climate change,7.0,Extremely
1281,Feeling directly affected by climate change,4.0,Moderately
1282,Feeling directly affected by climate change,7.0,Extremely
1283,Feeling directly affected by climate change,1.0,Not at all
1284,Feeling directly affected by climate change,4.0,Moderately
1285,Feeling directly affected by climate change,2.0,Slightly
1286,Feeling directly affected by climate change,2.0,Slightly
1287,Feeling directly affected by climate change,1.0,Not at all
1288,Feeling directly affected by climate change,5.0,Quite a bit
1289,Feeling directly affected by climate change,5.0,Quite a bit
1290,Feeling directly affected by climate change,7.0,Extremely
1291,Feeling directly affected by climate change,5.0,Quite a bit
1292,Feeling directly affected by climate change,6.0,Very much
1293,Feeling directly affected by climate change,2.0,Slightly
1294,Feeling directly affected by climate change,1.0,Not at all
1295,Feeling directly affected by climate change,3.0,Somewhat
1296,Feeling directly affected by climate change,5.0,Quite a bit
1297,Feeling directly affected by climate change,5.0,Quite a bit
1298,Feeling directly affected by climate change,1.0,Not at all
1299,Feeling directly affected by climate change,6.0,Very much
1300,Feeling directly affected by climate change,5.0,Quite a bit
1301,Feeling directly affected by climate change,2.0,Slightly
1302,Feeling directly affected by climate change,2.0,Slightly
1303,Feeling directly affected by climate change,3.0,Somewhat
1304,Feeling directly affected by climate change,5.0,Quite a bit
1305,Feeling directly affected by climate change,4.0,Moderately
1306,Feeling directly affected by climate change,5.0,Quite a bit
1307,Feeling directly affected by climate change,4.0,Moderately
1308,Feeling directly affected by climate change,5.0,Quite a bit
1309,Feeling directly affected by climate change,3.0,Somewhat
1310,Feeling directly affected by climate change,2.0,Slightly
1311,Feeling directly affected by climate change,4.0,Moderately
1312,Feeling directly affected by climate change,2.0,Slightly
1313,Feeling directly affected by climate change,3.0,Somewhat
1314,Feeling directly affected by climate change,5.0,Quite a bit
1315,Feeling directly affected by climate change,4.0,Moderately
1316,Feeling directly affected by climate change,7.0,Extremely
1317,Feeling directly affected by climate change,5.0,Quite a bit
1318,Feeling directly affected by climate change,6.0,Very much
1319,Feeling directly affected by climate change,4.0,Moderately
1320,Feeling directly affected by climate change,3.0,Somewhat
1321,Feeling directly affected by climate change,5.0,Quite a bit
1322,Feeling directly affected by climate change,3.0,Somewhat
1323,Feeling directly affected by climate change,3.0,Somewhat
1324,Feeling directly affected by climate change,1.0,Not at all
1325,Feeling directly affected by climate change,2.0,Slightly
1326,Feeling directly affected by climate change,1.0,Not at all
1327,Feeling directly affected by climate change,5.0,Quite a bit
1328,Feeling directly affected by climate change,5.0,Quite a bit
1329,Feeling directly affected by climate change,3.0,Somewhat
1330,Feeling directly affected by climate change,4.0,Moderately
1331,Feeling directly affected by climate change,2.0,Slightly
1332,Feeling directly affected by climate change,5.0,Quite a bit
1333,Feeling directly affected by climate change,7.0,Extremely
1334,Feeling directly affected by climate change,5.0,Quite a bit
1335,Feeling directly affected by climate change,7.0,Extremely
1336,Feeling directly affected by climate change,1.0,Not at all
1337,Feeling directly affected by climate change,4.0,Moderately
1338,Feeling directly affected by climate change,3.0,Somewhat
1339,Feeling directly affected by climate change,1.0,Not at all
1340,Feeling directly affected by climate change,7.0,Extremely
1341,Feeling directly affected by climate change,1.0,Not at all
1342,Feeling directly affected by climate change,6.0,Very much
1343,Feeling directly affected by climate change,7.0,Extremely
1344,Feeling directly affected by climate change,3.0,Somewhat
1345,Feeling directly affected by climate change,2.0,Slightly
1346,Feeling directly affected by climate change,7.0,Extremely
1347,Feeling directly affected by climate change,5.0,Quite a bit
1348,Feeling directly affected by climate change,6.0,Very much
1349,Feeling directly affected by climate change,5.0,Quite a bit
1350,Feeling directly affected by climate change,1.0,Not at all
1351,Feeling directly affected by climate change,2.0,Slightly
1352,Feeling directly affected by climate change,3.0,Somewhat
1353,Feeling directly affected by climate change,2.0,Slightly
1354,Feeling directly affected by climate change,7.0,Extremely
1355,Feeling directly affected by climate change,6.0,Very much
1356,Feeling directly affected by climate change,4.0,Moderately
1357,Feeling directly affected by climate change,1.0,Not at all
1358,Feeling directly affected by climate change,7.0,Extremely
1359,Feeling directly affected by climate change,5.0,Quite a bit
1360,Feeling directly affected by climate change,4.0,Moderately
1361,Feeling directly affected by climate change,6.0,Very much
1362,Feeling directly affected by climate change,1.0,Not at all
1363,Feeling directly affected by climate change,7.0,Extremely
1364,Feeling directly affected by climate change,2.0,Slightly
1365,Feeling directly affected by climate change,7.0,Extremely
1366,Feeling directly affected by climate change,1.0,Not at all
1367,Feeling directly affected by climate change,7.0,Extremely
1368,Feeling directly affected by climate change,7.0,Extremely
1369,Feeling directly affected by climate change,4.0,Moderately
1370,Feeling directly affected by climate change,1.0,Not at all
1371,Feeling directly affected by climate change,2.0,Slightly
1372,Feeling directly affected by climate change,6.0,Very much
1373,Feeling directly affected by climate change,7.0,Extremely
1374,Feeling directly affected by climate change,6.0,Very much
1375,Feeling directly affected by climate change,7.0,Extremely
1376,Feeling directly affected by climate change,1.0,Not at all
1377,Feeling directly affected by climate change,3.0,Somewhat
1378,Feeling directly affected by climate change,7.0,Extremely
1379,Feeling directly affected by climate change,6.0,Very much
1380,Feeling directly affected by climate change,6.0,Very much
1381,Feeling directly affected by climate change,1.0,Not at all
